1644167176	Recreated Group model after apparent corruption in UIBasic
1644167177	Added File Preview and File Edit
1644167178	Fixed ReadFile impl name
1644167179	Re-applied package
1644167180	Modified ReadFile
1644167181	2nd attempt to fix JavaReadFile
1644167182	3rd time lucky?
1644167183	Minor fix
1644167184	Cosmetic fix
1644167185	Added Tabbed version of UI function
1644167186	Inheritance Change
1644167187	Inheritance change
1644167188	Add bean class
1644167189	Minor fixes
1644167190	Added Gen function calls
1644167191	Add impl triples
1644167192	Added Abstract Generation Function
1644167193	initial File write code
1644167194	Fix to Entity name and write file
1644167195	Minor fixes
1644167196	Filename fix
1644167197	Error handling for file operations
1644167198	Filename fix
1644167199	Cosmetic
1644167200	Various additions
1644167201	Prepare for Evaluation functions
1644167202	Remove suffix from output files.  Initiate Template class
1644167203	Added Call to Parse and Edit points
1644167204	Added Impl Names
1644167205	Add file name triples
1644167206	Fixed source code objects
1644167207	Added some template node source code
1644167208	Fixed source code
1644167209	Add node parsing functions
1644167210	Fix source code
1644167211	Concat Evaluation output
1644167212	Changed Eval order
1644167213	Support for Template Node Type
1644167214	Fixed bug clearing evaluation
1644167215	New Evaluation functions
1644167216	Paramater mapping fix
1644167217	Source code fix
1644167218	Fixed parameter
1644167219	Placeholders added to fix concat trimming spaces.  Removed length of EvaluationText
1644167220	Fixed mapping
1644167221	Fixed parm again
1644167222	First attempt at implementing loop
1644167223	Increased length of LoopName
1644167224	Added GetLoopName function
1644167225	Fix to return eval text for loops
1644167226	Fixes to parameters
1644167227	Fix to loop processing
1644167228	Fix to loop meta code
1644167229	More meta code fixes
1644167230	Meta code test
1644167231	More meta testing
1644167232	More meta testing
1644167233	Add defaults to meta code
1644167234	Fix to meta defaults
1644167235	Fix to default impl name
1644167236	Fix for loop processing
1644167237	Apply Key Attributes
1644167238	Fix support for key loops
1644167239	Add condition processing
1644167240	Fixed source code and refactored
1644167241	Minor fixes to conditions
1644167242	Fixed String comparisons
1644167243	Fix for conditions within loops
1644167244	Add support for Clause Nodes
1644167245	Added Support for Field Values
1644167246	Add missing impl triples
1644167247	Source code fix
1644167248	Fix to inherited Implement SYS triples
1644167249	Remove Implement SYS No triples
1644167250	Fix to values meta code
1644167251	Fix to get value literal
1644167252	Fix to show values of current attribute field
1644167253	More rules for varname modifier
1644167254	Add attribute label
1644167255	Support for default values
1644167256	Fix to default value
1644167257	Start to add support for Include files
1644167258	Fixed parameter
1644167259	Remove debug text for include
1644167260	Added upper, lower and camel modifiers.  Returns surrogate name if no impl name
1644167261	Fix to camel case syntax
1644167262	Add case and alignment attributes
1644167263	Fixed field lengths
1644167264	Meta code fix
1644167265	Attempt to return mandatory flag
1644167266	Added ViewL variable to Evaluate Attribute
